releaseDate,cant
2010-02,1
2010-09,1
2010-10,1
2010-12,2
2011-02,1
2011-08,1
2011-10,1
2011-11,1
2011-12,1
2012-08,4
2012-09,1
2012-10,2
2012-11,5
2012-12,1
2013-02,1
2013-03,2
2013-04,1
2013-05,1
2013-11,1
2013-12,2
2014-01,2
2014-04,2
2014-05,2
2014-07,2
2014-10,1
2015-02,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,2
2015-10,2
2015-11,1
2016-01,1
2016-03,1
2016-04,3
2016-06,4
2016-09,3
2016-10,1
2017-02,4
2017-04,2
2017-05,1
2017-06,1
2017-07,2
2017-08,3
2017-09,3
2017-10,1
2018-01,1
2018-02,3
2018-03,3
2018-04,1
2018-05,1
2018-06,2
2018-07,5
2018-08,2
2018-09,3
2018-10,5
2018-11,3
2018-12,2
2019-01,3
2019-02,5
2019-03,4
2019-04,5
2019-05,1
2019-06,1
2019-07,1
2019-08,3
2019-09,3
2019-10,6
2019-11,5
2019-12,4
2020-01,3
2020-02,12
2020-03,200
2020-04,255
2020-05,88
2020-06,56
2020-07,43
2020-08,1
